sp_id1,gen
2819,Porphyrobacter
2822,Gluconobacter
2826,Granulibacter
2830,Acidiphilium
2832,Gluconacetobacter
2834,Komagataeibacter
2839,Acetobacter
2856,Asaia
2857,Kozakia
2858,Roseomonas
2860,Neoasaia
2861,Commensalibacter
2862,Rhodospirillum
2865,Pararhodospirillum
2866,Magnetospirillum
2871,Azospirillum
2880,Tistrella
2881,Candidatus Endolissoclinum
2883,Thalassospira
2886,Magnetospira
2887,Haematospirillum
2888,Nitrospirillum
2889,Niveispirillum
2890,Parvularcula
2891,Magnetococcus
2892,Candidatus Pelagibacter
2894,unclassified Pelagibacteraceae
2896,Micavibrio
2898,Polymorphum
2899,Phreatobacter
2900,Candidatus Puniceispirillum
2901,Georhizobium
2902,Acidithiobacillus
2907,Mariprofundus
2909,Hydrogenophilus
2910,Bacillus
3043,Oceanobacillus
3045,Geobacillus
3063,Parageobacillus
3065,Anoxybacillus
3070,Amphibacillus
3071,Lysinibacillus
3077,Halobacillus
3080,Terribacillus
3081,Virgibacillus
3087,Lentibacillus
3088,Fictibacillus
3090,Salimicrobium
3091,Aeribacillus
3092,Sporolactobacillus
3093,unclassified Sporolactobacillaceae
3094,Staphylococcus
3180,Macrococcus
3183,Salinicoccus
3184,Auricoccus
3185,Listeria
3231,Brochothrix
3232,Exiguobacterium
3237,Gemella
3240,Brevibacillus
3243,Paenibacillus
3286,Thermobacillus
3287,Aneurinibacillus
3289,Cohnella
3290,Alicyclobacillus
3292,Kyrpidia
3294,Tumebacillus
3296,Solibacillus
3299,Planococcus
3310,Jeotgalibacillus
3311,Kurthia
3312,Sporosarcina
3317,Rummeliibacillus
3318,Paenisporosarcina
3319,Novibacillus
3320,Laceyella
3321,Lactococcus
3339,Streptococcus
3482,Lactobacillus
3575,Pediococcus
3581,Enterococcus
3602,Melissococcus
3604,Tetragenococcus
3607,Vagococcus
3609,Oenococcus
3612,Leuconostoc
3624,Weissella
3631,Aerococcus
3638,Suicoccus
3639,Carnobacterium
3644,Marinilactibacillus
3645,Jeotgalibaca
3648,Clostridium
3700,Alkaliphilus
3702,Candidatus Arthromitus
3706,Geosporobacter
3707,Mageeibacillus
3708,Fastidiosipila
3709,Hungateiclostridium
3713,unclassified Hungateiclostridiaceae
3714,Ruminiclostridium
3715,Thermoclostridium
3717,Pseudoclostridium
3718,unclassified Ruminococcaceae
3722,Flavonifractor
3723,Ethanoligenens
3724,Ruminococcus
3728,Faecalibacterium
3730,Caproiciproducens
3731,Butyrivibrio
3734,Cellulosilyticum
3735,Roseburia
3738,Coprococcus
3740,Blautia
3745,Lachnoclostridium
3750,Anaerostipes
3751,Herbinix
3752,Anaerotignum
3753,Lachnoanaerobaculum
3757,unclassified Lachnospiraceae
3758,Clostridioides
3763,Peptoclostridium
3764,Acetoanaerobium
3765,Filifactor
3766,Paeniclostridium
3767,unclassified Peptostreptococcaceae
3768,Symbiobacterium
3769,Syntrophomonas
3770,Syntrophothermus
3771,Desulfitobacterium
3776,Desulfotomaculum
3780,Desulfofarcimen
3781,Desulfofundulus
3782,Desulfallas
3783,Pelotomaculum
3784,Candidatus Desulforudis
3785,Thermincola
3786,Syntrophobotulus
3787,Desulfosporosinus
3790,Dehalobacter
3793,Heliobacterium
3794,Eubacterium
3796,Anaerobutyricum
3797,Acetobacterium
3798,Oscillibacter
3799,Thermaerobacter
3800,Sulfobacillus
3802,Carboxydocella
3803,Christensenella
3804,Intestinimonas
3805,Mogibacterium
3806,Aminipila
3808,unclassified Clostridiales
3810,Petrocella
3811,Caldanaerobacter
3812,Thermoanaerobacter
3820,Carboxydothermus
3821,Tepidanaerobacter
3823,Moorella
3824,Ammonifex
3825,Thermacetogenium
3826,Caldicellulosiruptor
3834,Thermosediminibacter
3835,Thermoanaerobacterium
3839,Thermodesulfobium
3841,Mahella
3842,Natranaerobius
3843,Halothermothrix
3844,Halanaerobium
3846,Halocella
3847,Acetohalobium
3848,Halobacteroides
3849,Anoxybacter
3850,Finegoldia
3851,Anaerococcus
3852,Parvimonas
3853,Peptoniphilus
3855,Gottschalkia
3856,Sporanaerobacter
3857,Veillonella
3860,Megasphaera
3863,Dialister
3864,Selenomonas
3869,Megamonas
3870,Pelosinus
3872,Methylomusa
3873,Acidaminococcus
3875,Phascolarctobacterium
3876,Erysipelothrix
3880,Faecalitalea
3881,Turicibacter
3882,Faecalibaculum
3883,unclassified Erysipelotrichaceae
3884,Intestinibaculum
3885,Limnochorda
3886,Coprothermobacter
3887,Mycoplasma
3979,Ureaplasma
3983,Candidatus Hepatoplasma
3984,Candidatus Phytoplasma
3992,Acholeplasma
3996,Mesoplasma
4004,Entomoplasma
4008,Spiroplasma
4028,Candidatus Izimaplasma
4029,unclassified Tenericutes
4031,Mycobacterium
4101,Mycolicibacterium
4119,Mycobacteroides
4127,Mycolicibacter
4129,Hoyosella
4130,Corynebacterium
4226,Nocardia
4234,Rhodococcus
4254,Gordonia
4263,Tsukamurella
4265,Segniliparus
4266,Dietzia
4271,Lawsonella
4272,Streptomyces
4335,Kitasatospora
4339,Streptacidiphilus
4340,Tropheryma
4342,Leifsonia
4344,Clavibacter
4349,Microbacterium
4362,Rhodoluna
4364,Rathayibacter
4368,Curtobacterium
4370,Microterricola
4371,Frondihabitans
4372,Agromyces
4375,Cryobacterium
4377,Cnuibacter
4378,Aurantimicrobium
4381,Pontimonas
4382,Microcella
4383,Mycetocola
